rank_test_score,mean_test_score,std_test_score,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split
136,0.8355713463203414,0.0054800799456393165,gini,20,16,16
136,0.8355713463203414,0.0054800799456393165,gini,20,16,2
136,0.8355713463203414,0.0054800799456393165,gini,20,16,32
136,0.8355713463203414,0.0054800799456393165,gini,20,16,4
141,0.8355255486049901,0.006052372544768792,entropy,20,1,64
142,0.8354801681808949,0.005123890083032017,gini,20,2,64
143,0.8353883954014085,0.006904315071171068,entropy,20,16,16
143,0.8353883954014085,0.006904315071171068,entropy,20,16,8
143,0.8353883954014085,0.006904315071171068,entropy,20,16,4
143,0.8353883954014085,0.006904315071171068,entropy,20,16,2
143,0.8353883954014085,0.006904315071171068,entropy,20,16,32
148,0.8344292931785086,0.005760472670536494,gini,,16,16
148,0.8344292931785086,0.005760472670536494,gini,,16,2
148,0.8344292931785086,0.005760472670536494,gini,,16,32
148,0.8344292931785086,0.005760472670536494,gini,,16,4
148,0.8344292931785086,0.005760472670536494,gini,,16,8
148,0.8344292931785086,0.005760472670536494,gini,30,16,4
148,0.8344292931785086,0.005760472670536494,gini,30,16,16
148,0.8344292931785086,0.005760472670536494,gini,30,16,8
148,0.8344292931785086,0.005760472670536494,gini,30,16,32
148,0.8344292931785086,0.005760472670536494,gini,30,16,2
158,0.8342011913456714,0.0049430911287560225,gini,20,1,64
159,0.8342011391842645,0.006074921964804191,entropy,30,8,64
159,0.8342011391842645,0.006074921964804191,entropy,,8,64
161,0.8322369075129222,0.008023930269851856,entropy,20,4,32
162,0.8321000151163759,0.004489122174659015,gini,30,2,64
163,0.8320999733872501,0.006220143326662382,gini,20,8,32
164,0.8320997647416222,0.00800683750712651,entropy,20,2,32
165,0.8319628827773571,0.0045807065962158765,entropy,30,4,64
166,0.8318256878446502,0.008408056540611882,entropy,20,1,32
167,0.8317802969882735,0.004211327443660053,gini,,2,64
168,0.8317347809445199,0.0069151928609107495,entropy,20,8,32
169,0.8315974503921547,0.007305769243647067,entropy,30,16,32
169,0.8315974503921547,0.007305769243647067,entropy,30,16,4
169,0.8315974503921547,0.007305769243647067,entropy,30,16,16
169,0.8315974503921547,0.007305769243647067,entropy,30,16,2
169,0.8315974503921547,0.007305769243647067,entropy,30,16,8
174,0.8315517778641803,0.007219553391254048,entropy,,16,32
174,0.8315517778641803,0.007219553391254048,entropy,,16,4
174,0.8315517778641803,0.007219553391254048,entropy,,16,2
174,0.8315517778641803,0.007219553391254048,entropy,,16,8
174,0.8315517778641803,0.007219553391254048,entropy,,16,16
179,0.8310037388253313,0.004653509488468401,entropy,,4,64
